IDX	CPT000814	CPT001846	X01BR001	X01BR008	X01BR009	X01BR010	X01BR015	X01BR017	X01BR018	X01BR020	X01BR023	X01BR025	X01BR026	X01BR027	X01BR030	X01BR031	X01BR032	X01BR033	X01BR040	X01BR042	X01BR043	X03BR002	X03BR004	X03BR005	X03BR006	X03BR010	X03BR011	X03BR013	X05BR001	X05BR003	X05BR004	X05BR005	X05BR009	X05BR016	X05BR026	X05BR029	X05BR038	X05BR042	X05BR043	X05BR044	X05BR045	X06BR003	X06BR005	X06BR006	X06BR014	X09BR001	X09BR004	X09BR005	X09BR007	X11BR003	X11BR004	X11BR006	X11BR009	X11BR010	X11BR011	X11BR012	X11BR013	X11BR014	X11BR015	X11BR016	X11BR017	X11BR018	X11BR019	X11BR020	X11BR022	X11BR023	X11BR024	X11BR025	X11BR027	X11BR028	X11BR030	X11BR031	X11BR032	X11BR036	X11BR038	X11BR040	X11BR042	X11BR043	X11BR044	X11BR047	X11BR049	X11BR050	X11BR051	X11BR053	X11BR054	X11BR055	X11BR056	X11BR058	X11BR059	X11BR060	X11BR072	X11BR073	X11BR074	X11BR075	X11BR080	X13BR009	X14BR005	X14BR008	X14BR014	X15BR003	X16BR012	X18BR002	X18BR003	X18BR004	X18BR006	X18BR007	X18BR009	X18BR010	X18BR016	X18BR017	X18BR019	X20BR001	X20BR002	X20BR005	X20BR006	X20BR007	X20BR008	X21BR001	X21BR002	X21BR010	X22BR005	X22BR006
ENOSF1	-2.618	-0.2712	-0.2412	-1.6526	-2.0574	-0.609	-0.3409	0.2969	-0.9568	-2.4096	-1.0273	-0.8395	-0.7427	-1.8095	2.9696	-1.3991	-0.7341	-1.3143	-0.6358	-1.7091	1.2067	-0.6476	-0.9666	-0.5069	-2.0364	3.9142	-1.82	-0.0782	-2.4278	-2.3377	0.0526	1.6422	0.4374	1.5887	1.2201	-2.1451	1.0402	0.9506	-0.6	0.149	-2.6391	2.0088	0.2143	-0.3094	0.7766	-2.3224	-0.0078	-0.4338	-2.9532	-2.753	-0.6145	0.3888	-3.5927	1.7866	-0.43065	0.4773	1.061	2.2221	-0.1222	-0.9272	1.2274	0.0362	3.7911	-0.4646	-0.1077	-0.9227	-2.4332	1.7742	1.9313	1.4262	-0.6546	-2.4232	0.8473	2.7404	-0.8635	4.0506	-0.8552	2.7096	-1.2159	3.6307	-1.8948	0.7951	0.879	-0.0981	0.5588	-1.2464	-2.9612	-1.0155	0.0774	2.9999	1.403	0.4181	1.2103	-0.9761	-1.1319	-0.9088	0.6336	0.6368	-0.1504	0.2796	2.3793	-1.505	4.3093	-0.6768	-1.4229	-0.4331	0.198	1.7636	0.9412	-0.6194	0.1791	0.0889	-1.5351	-0.9339	-1.073	-1.0283	1.4857	-0.0448	0.6564	0.8928	-2.9005	-0.5628
ENOX1				1.4594	0.7548	0.7443		-0.3149		-0.2216	1.0722	-2.4706	0.26	-2.1222		-0.1817		1.3385			-0.5065		-0.8694		1.1111	-0.5096	1.2863	1.6322	-2.9135	0.4592	1.8862		0.8198		-1.7701	1.4792			2.1877	-0.3536		-0.4257	-1.677			0.7078			-0.0239	-0.297	1.7749	-2.8201	-0.1368	0.4947	-0.8672		0.1155	0.2608	0.9669	0.6746		-0.9099	-0.0351	-1.0422	-0.1518	0.0033				0.9431	-2.7146	-1.7225	1.8768	0.81605	-0.729	0.7061	0.2415	-0.8289	0.1185	0.0594	0.6892	1.8459		0.989		0.3364	-2.1457			0.7788	-1.1191	1.4619	0.2027				-2.137	1.7336				-0.8733		1.6218	1.3944	-4.2864	-0.8762	0.3248		-0.6509	-0.6967	1.0564	-1.6569	1.0655	-0.2422	0.3781	0.2393	-0.3126	0.1207	-1.2566	-2.9293	-0.1781
ENOX2	-3.8272					0.4381				-0.283	-2.0738	-2.5398		-3.8413					-1.7096	-1.0631	-1.1634		4.4425				-1.5576	3.0055		0.2942			0.7094			-1.8172	0.1985									-1.8982	-0.289			2.0573	1.7805				-3.4381	1.486			0.4422										-0.5111				1.1658	0.6376		-4.3978							1.3241	2.72255				-3.466	-0.9823	-0.2487				0.4902	3.5344	4.8217		2.9511	-1.3697	3.4919		-2.9086													-0.0192					2.32565		
ENPEP	-2.2071	2.0116	-0.8839	0.3244	1.4637	1.053	0.354	0.5747	0.8525	-0.3285	-0.1638	-4.4644	3.0192	-2.9708	-1.4158	2.0913	0.1602	2.6525	-1.5898	-1.2182	-6.329	0.0398	-2.045	0.6296	0.7691	-1.0251	-1.9561	3.2293	-1.4802	-0.9105	-0.2128	0.5303	1.0693	1.0045	-0.2443	-4.1283	0.3981	-0.2735	-1.0945	-0.1924	-0.6389	-1.4474	-2.2029	0.8273	-1.5897	-0.1265	-1.6982	2.4027	-1.1202	-2.5134	3.8531	0.7047	-0.7443	0.7055	-0.57795	0.1904	-0.6308	1.967	2.0144	-1.4052	-1.6947	2.4974	1.5399	0.7373	-0.6536	-1.5381	-0.1458	-0.3419	0.0255	0.3031	-0.9229	-0.50735	0.9594	0.27543	-0.141	-4.6472	-0.3867	-1.0176	-0.9563	0.5201	0.4075	3.1345	1.1529	-1.04715	-0.0716	3.3278	1.2686	0.6181	1.801	2.2197	-0.6352	-2.0673	-0.0203	-0.8981	2.4771	1.4605	-1.321	0.3099	-0.3773	0.8211	-0.0362	0.6291	-1.702	-0.5611	-0.9539	0.0122	-0.2322	-0.0436	1.6118	1.5709	1.1708	-0.8162	-0.5009	1.617	0.8046	1.1713	2.2866	-1.3163	1.565	-0.47385	0.6386	-0.3421
ENPP1	-2.6161	-2.0139	0.111	-2.9683	0.6675	0.1763	-0.2722	-2.5453	-1.4835	-0.6196	0.695	0.5066	0.9385	-2.3891	-0.2658	-0.7095	1.7416	0.0622	-2.4222	-2.4883	-2.4343	0.3153	-0.6205	-0.1207	0.5423	-1.0112	-1.1715	1.1182	-2.6295	-1.048	-1.5338	0.6046	-1.3928	3.8331	-0.2523	-0.5102	-0.3222	-1.1812	-1.301	-1.1453	0.1176	-2.8004	-1.2478	-1.1396	0.3916	0.7898	2.0786	0.8672	0.6805	-5.2536	0.0586	-0.8145	-1.4769	4.807	-0.34225	0.7466	-1.7467	0.9892	-0.9281	-2.5937	-1.5482	-0.7861	-4.0476	0.3338	-1.1045	-2.8055	-3.0454	-0.4279	-1.4118	0.2041	-2.6013	0.96355	-2.124	-2.25067	-1.8553	0.2904	-1.1771	-1.3918	-0.2651	0.1689	-2.4825	0.2494	0.8733	-0.5964	0.0697	0.3429	1.7256	1.1354	0.8218	0.12175	-1.2056	-1.5221	-0.0639	-0.1552	-1.8266	0.3467	-3.0829	-1.2915	-1.2358	-1.815	-0.8604	2.5518	-1.5692	-0.1364	1.3852	0.6047	-2.5998	-1.6188	-0.6336	0.6982	-0.2245	0.3704	0.8413	-0.1886	-1.2819	1.9617	2.0506	-0.0188	1.368	2.304	0.4444	1.4443
ENPP2	-1.9411	3.0537	0.9736	-0.7396	1.3121	0.28	0.6789	0.539	1.6296	-1.3314	-1.3371	-0.1276	3.6601	-0.7518	0.9637	-0.7444	-1.4698	1.9892	2.4237	-1.3991	0.1411	2.3898	1.3018	1.9994	-1.1933	0.7467	0.8234	5.017	-0.2486	1.119	1.4688	1.0807	4.3678	-0.282	2.1222	-0.6398	0.6353	-0.8566	0.8388	0.2328	0.7996	-0.2588	0.4933	3.7844	-0.4881	-0.6421	-0.6413	-1.303	0.0351	-1.3892	2.4817	2.7028	-1.5405	0.7798	0.51405	-0.0126	0.1611	1.5135	-0.158	0.7736	-0.8044	3.4641	-0.2485	-0.1162	1.1196	-0.3883	-0.8335	2.0064	-0.7453	-0.2137	0.5439	0.40425	1.0613	-1.68973	2.0882	2.2081	-0.015	-0.1082	-1.0748	-0.0154	-0.777	3.7666	0.6422	-0.15015	5.2575	2.0471	-0.4036	0.1852	1.7373	0.1345	2.0202	0.143	3.3971	0.4831	-0.0332	-1.1978	-1.83125	3.052	2.7065	1.5447	0.0209	3.4202	0.0064	0.8518	-0.0219	2.3699	0.7527	1.9551	-0.6638	1.2666	3.4446	1.0016	2.1765	-0.7451	0.976	-0.9777	3.183	0.418	-0.7328	0.10175	1.9334	0.6003
ENPP3	0.0214		0.0171			5.9946	-1.3015	1.6886		-0.5705	-1.0658					-2.3676	-2.2415			0.3919							-1.1245		-2.4278											6.3841	0.3477	0.0876	-1.1137	1.5509		-1.3545		-2.2723				1.7426		2.2083	-1.2868	-0.9463		-1.7885		-0.3438	5.8768	0.944				-1.4281		-1.8693			5.4451	-1.8666		-1.8478			0.4037	-0.6433	-1.5206	2.4303	0.5166	1.5542				-0.1004		3.6866					-1.2124		0.9189	-0.5857	-0.8639		2.3839	1.1506						1.4544		1.4735		-0.539					-0.8853					-1.5768	-1.4007	
ENPP4	-1.6065	-1.9651	0.1708	-0.3597	-0.7682	-2.1303	-2.1151	-1.5664	0.3471	-2.2326	0.3001	-0.0399	-0.9287	-0.7797	-1.8848	-0.946	2.6719	-0.917	-0.8333	-0.0892	-0.9226	-1.4716	-0.9808	0.3722	-0.4343	0.6306	2.9149	0.1871	-1.0715	1.7788	-0.9138	-0.4881	0.6276	2.5251	-1.0286	-0.5914	0.6266	-0.9331	-0.1503	-0.496	-1.0224	3.8776	-0.6281	-0.9054	-0.0335	0.2156	-0.4283	-0.5367	1.2522	-0.4327	-0.578	-0.3382	0.2059	-2.3891	0.7827	-2.6877	0.7635	-1.1196	0.6309	0.7909	-1.6691	-1.1693	0.2595	0.6095	-0.0738	-0.5658	-0.9066	-1.3388	1.8802	-2.2086	-1.3075	-0.713	-0.7123	-1.21097	-0.2784	-1.4261	-1.7398	-1.1753	0.0988	1.063	0.4954	0.8383	-0.0482	-0.9765	1.1609	0.0178	-1.7586	-1.2225	-0.5262	-0.16405	0.5265	1.926	1.0846	-1.0204	0.0084	0.4119	2.3623	0.2726	0.4374	0.2612	-1.6057	-1.7302	-1.9646	0.3279	-0.6189	-0.7497	-0.6516	-1.6362	0.3118	-1.4432	2.1284	0.7692	-0.2458	-0.5537	-0.4792	-0.8061	-1.8001	-0.0448	1.5151	1.6673	1.1493	-0.2765
ENPP5	-0.6067	-4.3263		-3.8287	-0.5036	-2.1253		-2.2751		-1.1157	-0.3997		-0.1949	-1.0585				0.5752	-1.301	-1.2758		-5.4963	-1.3055		-1.2042	1.9636	1.3803	-1.6891			0.7455	-3.2843					2.2001			-1.0888		5.2606	-3.2867		2.0307	0.0094	-1.9603		1.6618	-4.3098		-0.634	-0.853		-0.8986	-0.4452	-0.4316			-1.5452		-0.1878	-0.0501	-1.7157	0.3567	-2.2345			2.7213	-2.8969		-0.8257	-1.6526	-2.89245			-5.0088	-2.1496	-3.1004	1.0132	0.4651		-0.8015	-0.7703		-2.018		-2.5484	-0.7107	-2.437		4.8486	1.2897	-1.2137	-0.6365	-2.0367	0.6275	0.0927	-1.1045	-1.0362	-4.0784	-2.6559		1.6102				-2.1787	3.2965	-2.0489	2.2998	-0.512	-4.0769	-2.1628	0.4995	-0.6064	-1.6648	-0.1722	2.014	4.34765		
ENPP7		-0.8254				2.1223				0.7076	-0.3146	-6.1765		-3.407					1.132		1.2832	-2.8757	-3.0216				-2.6962	5.8156		-6.2567		-3.6036	-3.9756				-6.9229								-2.7394	0.9866	-0.8625			-4.6619	13.6043				0.7318				-9.1593										-5.9644				1.3238	-0.17545									-4.7759	-2.0051					-9.2317	-1.0474				-4.8182				-1.8312			-3.2542	-1.9461							-3.2363						0.0324					-0.6544		
