IDX	CPT000814	CPT001846	X01BR001	X01BR008	X01BR009	X01BR010	X01BR015	X01BR017	X01BR018	X01BR020	X01BR023	X01BR025	X01BR026	X01BR027	X01BR030	X01BR031	X01BR032	X01BR033	X01BR040	X01BR042	X01BR043	X03BR002	X03BR004	X03BR005	X03BR006	X03BR010	X03BR011	X03BR013	X05BR001	X05BR003	X05BR004	X05BR005	X05BR009	X05BR016	X05BR026	X05BR029	X05BR038	X05BR042	X05BR043	X05BR044	X05BR045	X06BR003	X06BR005	X06BR006	X06BR014	X09BR001	X09BR004	X09BR005	X09BR007	X11BR003	X11BR004	X11BR006	X11BR009	X11BR010	X11BR011	X11BR012	X11BR013	X11BR014	X11BR015	X11BR016	X11BR017	X11BR018	X11BR019	X11BR020	X11BR022	X11BR023	X11BR024	X11BR025	X11BR027	X11BR028	X11BR030	X11BR031	X11BR032	X11BR036	X11BR038	X11BR040	X11BR042	X11BR043	X11BR044	X11BR047	X11BR049	X11BR050	X11BR051	X11BR053	X11BR054	X11BR055	X11BR056	X11BR058	X11BR059	X11BR060	X11BR072	X11BR073	X11BR074	X11BR075	X11BR080	X13BR009	X14BR005	X14BR008	X14BR014	X15BR003	X16BR012	X18BR002	X18BR003	X18BR004	X18BR006	X18BR007	X18BR009	X18BR010	X18BR016	X18BR017	X18BR019	X20BR001	X20BR002	X20BR005	X20BR006	X20BR007	X20BR008	X21BR001	X21BR002	X21BR010	X22BR005	X22BR006
A1BG	-0.6712	1.3964	2.0219	-0.529	1.2556	-0.3843	1.0394	1.1533	1.9579	-0.1637	-0.6469	-0.2035	2.3407	-0.2538	2.4662	0.2366	-0.844	2.3897	0.1646	0.3302	0.77	2.8944	0.3253	3.7293	-1.8078	1.5386	0.6452	2.3617	-0.5433	0.964	0.7901	1.0477	3.6316	-0.6171	1.469	0.3253	-0.4089	-0.7139	1.0922	-0.1358	0.669	-0.027	-0.62	1.3852	-0.0763	-0.1054	-0.8516	-0.6225	-0.4364	-0.4539	1.3627	3.4097	-0.4077	0.9134	-0.41505	0.2853	0.7803	0.9126	0.5347	-0.7356	-0.1581	3.6498	-0.5881	0.9318	1.9095	-0.8687	-1.5691	0.3608	-1.2862	0.5495	0.0252	0.43285	0.7453	-0.5146	3.8201	1.964	-0.2349	-0.7454	-1.1764	0.9933	-0.0651	4.6176	0.2685	-0.7749	0.0467	2.8319	-0.905	-0.3485	0.9526	1.5513	2.7448	-1.053	1.9127	-0.2492	0.8885	0.5139	-0.5058	5.5682	3.0591	2.471	-0.0716	3.9876	0.9967	-0.4652	0.0999	2.1692	1.2343	0.9282	0.856	0.8934	0.4692	1.0545	1.8732	-0.4227	1.5862	-0.297	1.6767	-0.661	-1.3735	1.1583	0.4948	0.5049
A2M	-0.2075	1.3302	1.6269	0.3267	3.4489	-1.0239	-0.1915	2.5655	2.4185	-0.581	-1.2986	-1.2544	3.4867	1.6724	2.9696	0.6025	-0.6432	0.6378	0.7454	0.1414	0.8148	2.3996	0.8112	3.852	-1.3432	0.0663	0.2566	0.4109	0.2689	0.8991	-0.3931	-1.0055	3.5662	-1.8306	0.2028	0.091	-1.3953	-0.3376	0.8715	-0.5987	-1.6028	-0.6151	-1.2988	1.9393	-0.1164	-1.2889	-0.0405	-3.9908	2.3249	-0.9099	1.8899	4.3198	-1.5693	2.3152	-0.6736	-0.8536	-0.698	-0.2126	-0.343	0.638	-0.5114	3.4641	-2.5117	1.6198	1.4993	-0.886	0.615	0.4609	-1.184	0.4456	1.2892	-0.4613	-1.1073	-0.64517	3.9781	0.9985	-1.1693	-0.3526	-0.7419	-0.7002	1.1891	3.7802	0.4054	-0.5871	0.3504	-0.4846	-0.1783	-1.2007	1.1471	1.63885	0.9285	-1.2519	0.2309	-0.4868	2.5242	-0.2428	-0.8686	3.8242	4.0324	1.0447	-1.4044	4.323	1.4745	-0.2157	0.7852	1.7052	2.6467	2.4453	-0.8562	1.6886	0.369	1.0394	1.5261	-1.911	1.6519	1.3457	1.7907	-0.6402	0.4227	0.3329	-1.0986	-0.6582
A2ML1	2.7959	-5.0948	-3.2943	1.4342	2.8043	-5.3604	-3.4196	-0.0396	1.1549	-3.544	-4.8731	-2.6258	4.7909	5.3316	-3.3687	-0.8141	-4.7363	-4.0954	4.4549	3.3694	-2.1245	-8.5411	-4.842	-2.2468	1.5244	-3.7769	-7.2034	-5.1099	-3.7788	-2.8726	-3.9995	-8.0237	-2.4971	-4.1716	-6.4522	5.3769	-6.7233	6.7421	-2.5619	2.5492	1.9541	-3.5455	-4.6066	-1.132	-9.6191	-4.7573	-2.6649	-5.2918	-6.9729	-2.1379	-0.5023	-2.5193	-5.5834	-7.6459	-7.586	-3.714	-3.5729	-8.9169	-2.9194	-0.5871	-0.3232	-3.0911	-4.7809	-6.8743	-4.966	-1.677	-3.6298	-3.9173	-5.6514	-2.0903	-3.3526	-0.2864	-4.3385	-4.9844	1.8659	-4.0947	-0.3108	-7.1852	-4.463	-5.1831	-5.9785	-6.623	-6.3822	-2.6466	-1.9203	-4.9437	-6.1281	-2.0964	-6.4417	-4.11165	-5.0952	-7.1732	-5.1912	-3.0647	3.2493	-3.6096	-4.30725	-1.6206	-1.2905	1.6	-10.1607	-2.9775	-5.4512	-3.6	-8.1266	-4.4149	0.6364	-5.242	-9.3953	-6.0217	-5.9827	-3.5713	4.7528	4.0898	2.4992	3.0502	-2.9086	-4.8578	-4.9553	-5.7358	-8.8314	-7.4699
A4GALT																			-1.502																		0.8724										3.414																						1.0156														0.7792	0.6928					1.1035	0.2449				-1.2545																												
AAAS	1.3969	0.7674	0.3352	0.4938	-0.2956	0.3739	0.9185	0.5518	0.0683	0.0835	0.4044	0.4661	-0.2653	1.039	-0.3267	0.7146	-0.0153	0.5189	0.6238	0.1374	0.8502	-0.2747	-0.0066	-1.7721	0.9868	-0.0033	-0.4141	-0.3877	-0.3203	-0.5681	0.1256	0.5716	-0.9388	-0.6837	-0.0944	-0.0573	-0.3627	1.484	-0.0461	0.0359	1.3385	0.6233	-0.1157	-0.1095	0.1991	0.5156	0.2353	0.7729	-0.1329	0.5705	-0.6201	0.2534	0.838	1.2223	-0.85555	0.3427	0.7011	-0.6406	0.3799	0.5519	0.3533	-0.1318	-0.6422	-0.0349	-0.5247	0.3814	0.4059	-0.2738	-0.0128	0.1389	-0.2879	0.61985	-0.009	0.37763	-0.3604	-0.4981	0.2912	-0.5753	0.4232	0.0594	-0.0772	-1.104	-0.3621	-1.0075	-1.9857	-0.2219	0.285	0.0491	0.1981	0.40525	0.281	0.6588	-0.6971	-0.563	0.3156	0.2816	0.35315	-0.0214	0.3854	-0.2389	0.5622	0.0157	-0.1676	-0.3496	-0.5701	-0.1384	0.0492	0.1072	-0.0125	-0.0481	-0.0874	-0.7841	1.2963	0.6248	-0.5097	0.5019	0.5231	1.2319	0.6327	-0.1658	0.2826	0.657
AACS	-1.0899	-1.6845	-1.0739	-2.8676	-1.7261	3.1422	0.0741	0.0241	-3.3943	-1.1122	-1.565	0.763	-2.63	-2.0366	-1.8053	-1.2747	0.5069	-1.7679	1.3938	-1.0512	-2.0349	-2.0445	-0.8646	-2.3775	-1.0213	1.0579	-1.1195	-1.6781	-5.151	-0.9055	-1.8863	-1.2559	-2.3314	-1.386	-1.4757	-1.8453	0.4559	-0.6746	-3.3529	6.6438	-1.4204	-2.2597	0.1472	-0.0905	0.5039	-0.6257	-0.3737	0.67	-0.4364	-2.4837	0.8102	0.4264	-1.009	0.1383	0.595	0.6605	-1.8474	-1.9189	0.5535	-0.9208	1.2274	0.272	-2.3614	-0.1423	-0.2128	-1.3857	0.6553	-1.1887	-0.7155	-0.8972	1.5903	-0.55195	-0.2459	1.5096	-0.3194	-0.5088	6.8083	-0.4979	-1.6052	1.3893	0.0924	-1.5011	-3.3179	-0.3341	0.1721	-0.2842	-1.0954	5.2712	-0.6604	-0.22025	-0.9905	-1.3993	-2.7172	-1.3112	-0.3846	-1.076	-0.4727	-2.0439	-0.9405	-0.2619	-0.2293	-2.0265	-1.5723	-0.9725	-2.1021	-0.4393	-2.7919	-0.8211	-1.0623	0.1299	-0.4487	-1.1205	0.1748	0.2093	-1.1763	-0.8595	2.3211	-1.6491	-3.1434	-2.0413	-1.0123	-0.7239
AADACL2		1.4522																	-0.5834			1.7438										2.2889					-2.3325								-0.1191		0.3008																						-3.2793					1.0435									-0.81	-1.2359					-3.4303	-0.3735				-1.8484							-0.6047								1.4524													
AADAT			1.2255			7.6788	-1.1402		1.1572	0.0063	-2.3114			-0.0884	-1.4926	-0.7967	-2.3092	-3.7169	0.3486				-1.5402	1.0158		0.8396	-1.8398	-0.1417	0.6458					-1.0982			-0.4986	0.2641		6.1076	0.5944		-1.728	-0.3666		-0.8366	-0.8489	-0.4938		-0.649		0.5768		-2.5465	-2.86595		-2.7737	-2.4744		1.6112	0.9787	0.1748	-2.665		-3.125		-0.1684	-1.0105	0.2619		-3.764	-1.68205	-0.4727	-0.7001			9.0958		-2.5644			-1.4282	-0.8699	-0.046	0.497	0.1787			2.3443	-1.0668				1.2738			-3.193	2.1767				1.1643	-1.3698			-1.2859							-0.5951		-1.5776	-3.166	1.6873			-1.2433	-2.5732	
AAED1	1.6708	2.1022	0.2754			0.1961	-0.0397			-0.1129	-0.6389	0.618		0.4793		-1.5809	-1.343	1.0194		1.3281	1.0313	1.4537	0.9605			-0.5769	-1.1987	0.0158	-1.8199	1.3815		1.6339	0.3822		-0.089	0.9358			-1.1559	0.9365	-0.5498		-1.0922	0.3779	0.0922	0.2859		-0.3937		1.6862	-1.1417	1.9131		-1.6942	0.4046	1.0887	-0.0788	-2.0662	-0.4657	-0.1414	-0.2581	1.283	1.7262		-0.2501			0.4029			-1.6592	0.74775	0.9339	0.04917	0.6665	0.1536	-0.8447		-0.8773			1.3759		-0.2207		0.3199	-0.2006	1.906			1.1155				1.8627	1.8374	-1.2817	1.2181	5.0029	1.2958	-0.7897	1.6789			-0.5732	2.2759	0.7256		0.79				0.0231		-0.5332	-0.3364	2.1673			0.90905	5.7567	0.642
AAGAB	-0.3484	-0.5814	-1.1187	-1.0691	-2.0471	-1.2437	-0.6445	0.4931	-0.4773	0.1343	0.0417	0.7478	-0.303	0.0829	0.1184	-1.3494	0.4181	1.9548	0.742	-0.7372	0.7644	1.2831	1.4867	-0.5773	-1.7108	2.5209	0.868	1.0796	0.3194	0.8691	0.314	-0.0615	-0.1004	-0.4689	0.3313	0.5564	0.0654	-1.2143	-0.0154	0.17	-1.238	1.2587	1.9769	-1.2843	1.667	-0.2086	-0.1252	-1.2401	-0.0474	-1.4868	-0.1994	-0.4335	0.8216	0.6254	1.6916	1.4595	0.2499	-0.2834	-0.6544	-0.5117	-0.2697	-1.4169	2.0508	1.2888	1.9603	-0.8552	-0.695	0.9414	1.0348	1.7908	1.2654	0.33765	1.2091	-1.40477	0.5524	-0.0449	0.1577	0.6063	-1.0494	1.2025	0.6226	-0.1018	0.2285	0.7156	0.7972	0.5235	-0.521	0.1607	1.9788	0.6568	0.5429	1.5085	0.0464	0.8838	-0.6393	-0.3674	0.14945	-0.1179	1.0005	0.1298	-0.5612	-0.1543	1.2783	0.2205	0.4928	0.7646	-0.6651	0.6845	-0.0262	1.5536	-0.3485	0.2457	-0.6342	-2.0772	-0.099	-0.1085	1.2709	-0.3074	0.3071	-0.241	1.7644	2.2376
AAK1	-0.4756	0.2916	-0.0534	-0.3643	-0.3547	-0.0015	-0.5188	0.4626	-1.1339	-0.3531	0.3001	-0.0838	-0.225	-0.2199	-0.4831	-0.2539	1.0947	-0.3382	-0.4028	1.3281	0.5069	0.1081	-0.9784	-0.3298	-0.5038	0.3357	0.3334	0.1484	0.4998	0.4467	-0.0507	0.0046	0.0427	0.0251	-0.1131	-0.0089	0.32	-0.8566	-0.0768	0.3585	-0.7695	-1.0587	0.8957	-0.4408	-0.3357	-0.5038	-0.4256	0.2096	0.7247	-0.7593	0.3278	-0.2054	-1.8853	-0.3488	0.42725	-0.8823	-1.4275	0.4592	-0.796	-0.079	1.26	-0.4118	-0.4889	-0.781	-0.1348	1.045	0.2044	0.2808	1.5927	0.8031	0.5797	0.74815	0.7402	-1.20303	0.4061	-0.8468	0.511	-0.3711	-0.3667	0.7716	0.1833	0.4682	0.1943	0.4509	0.1332	0.2149	0.4595	0.9938	0.3021	-0.04475	-0.3244	0.3592	0.2899	2.0486	0.3958	0.2475	-0.46115	-0.1135	0.4128	0.3695	-0.1994	1.077	-0.1106	-0.7924	-0.2838	1.2914	0.1466	-0.473	0.4327	0.5748	-0.388	-0.597	-1.0479	-0.4278	1.3961	-0.0044	-0.0763	-0.3074	0.7562	0.67175	0.5415	-0.7597
AAMDC	-0.7299	-2.2857	-0.2519	-1.8173	-0.8298	-0.0953	0.6007	-0.2767	0.4581	1.1039	-0.3419	0.9705	0.4836	-1.0067	-1.1906	-0.473	2.0503	-1.0171	-2.515	0.3581	-2.0741	0.7443	0.0859	3.4054	-2.3528	1.4248	8.1448	0.8806	-0.2009	1.9713	1.6613	2.2229	1.967	1.2493	10.702	1.6822	0.7972	-1.359	1.7749	-0.5966	0.4182	1.5478	-2.0017	0.1818	1.036	3.4309	-3.4295	0.4841	2.3013	-2.2758	-0.9651	-2.4065	2.2232	0.5392	0.87625	0.356	3.4176	1.797	1.5388	-1.1576	0.9856	2.1525	0.9417	-0.2904	0.7602	-0.7529	1.6932	-0.6942	1.5522	0.1172	-1.3343	2.14825	-0.2485	-0.6828	-1.5598	-0.4338	-0.617	1.4507	1.6138	0.3881	-1.916	-0.299	2.1972	1.0716	-0.6543	1.3608	-0.2672	1.503	0.2283	0.07155	2.7448	-1.053	0.5822	-0.6889	0.9937	3.81	0.14615	0.8583	2.0476	1.7014	-0.1967	1.4285	0.6171	-1.1527	-0.2382	-0.3265	-0.4487	1.1225	1.8289	1.0255	0.4587	-1.4323	0.0415	-0.5839	0.3376	-0.1648	0.6397	-0.0266	-1.6912	-0.16515	0.1531	0.1589
AAMP	-0.5695	-1.4492	-0.5658	-0.3094	-0.2365	-0.7152	-0.156	0.5033	-0.8127	0.8409	1.3579	0.5471	-1.1498	-0.706	1.0697	-0.59	0.1581	3.4596	-0.6054	-0.5821	-0.0343	0.1836	0.9582	0.1207	0.1729	1.6385	-0.372	-0.0478	3.377	-0.9805	0.6908	-0.8018	-0.1515	-0.8813	-0.0703	-0.7819	-1.375	-0.3086	-0.6184	-1.1327	-0.4047	1.032	0.9789	-0.9435	0.1376	1.5725	1.6799	-1.7319	0.9103	0.0233	-0.4406	-1.5566	2.9661	-1.5902	1.3158	0.6583	0.2187	-0.1587	0.344	1.0105	0.0976	-0.2438	0.1843	0.6821	0.5161	0.0631	1.3254	0.9374	0.0851	0.448	-0.267	-0.48805	-0.7352	-0.91497	0.3534	0.5479	-1.2818	0.9682	-0.4288	-0.3092	-0.7921	-0.7609	0.0088	0.2167	0.7106	0.4644	-1.2572	0.5146	0.6743	-0.67105	0.3231	0.8282	-0.1203	1.5344	0.7612	1.2168	0.6298	0.1081	0.2405	0.8257	-0.6918	-0.3036	1.1771	0.2156	0.5172	1.166	0.3306	-0.4875	-0.8068	0.2074	0.0736	0.8542	0.7149	0.305	2.694	-0.5867	0.2976	-0.323	0.0261	0.52095	3.3074	-0.4674
AAR2	1.346	0.9834	-0.222	-0.1332	-0.0901	-0.1052	0.086	-0.1365	0.0754	0.2693	1.2118	0.7782	0.6419	-0.2219	-0.0882	-0.4556	-0.5354	-0.4133	0.1933	0.1474	0.6954	-0.1601	0.6595	-0.6436	1.5135	-0.0753	-0.2235	-0.2578	0.7228	-0.0582	-0.1642	-0.378	-0.9327	-0.2283	-0.1372	-0.4258	-0.004	0.322	-0.1095	0.3166	1.0628	-0.331	0.665	-0.5265	-0.1672	0.2672	0.8115	-0.2765	0.5125	-0.0297	0.6784	0.2409	0.9426	-0.3696	0.14685	0.9806	-0.1004	-0.9155	0.4271	0.0007	0.8369	-0.4265	-0.8256	1.7301	0.2923	-0.1086	0.023	1.2076	0.1511	0.8417	1.8378	1.1603	0.0063	0.78647	0.2774	-0.482	1.3355	0.2166	0.0254	0.6645	0.0712	-0.9014	0.5909	0.6898	0.105	0.5005	0.0882	-0.5064	0.681	0.38955	-0.0719	0.6146	-0.574	0.2472	1.2787	1.3075	-0.49825	-0.2868	-0.1422	-0.2343	0.5296	0.5625	-0.0853	-1.3559	0.1822	-0.7874	0.2792	0.4437	-0.3698	0.3337	-1.0053	-1.385	0.2736	0.1615	0.5981	1.1797	0.1942	1.2163	-0.5463	-0.3436	0.7861	0.3259
AARS	0.5047	0.8528	-0.032	-0.2774	0.2386	-1.3573	-0.1132	0.0318	0.4534	-0.6546	-1.0915	0.3362	-0.7553	1.5908	0.1052	0.5453	-0.0766	-0.6824	0.2135	0.9345	0.6394	-0.6354	-0.7674	-0.7201	0.054	-0.3818	-0.5552	-0.1915	1.2112	0.2817	-1.0192	-0.8679	-0.5953	0.0079	-0.7395	-0.4305	-0.2527	2.5489	0.8082	0.5218	-0.6182	0.7778	-0.2525	-0.8293	-1.8303	-0.2882	0.2899	0.3812	-0.4983	0.106	-0.5416	-1.4613	-0.6622	0.3194	-0.85145	0.5524	-1.4899	-0.4762	-0.5865	0.3021	1.4854	-0.5562	0.2985	-1.2077	-0.6332	-0.0796	1.5773	-0.0696	-0.8838	1.9792	0.1235	0.4996	0.2178	-0.94563	0.7864	-1.925	0.9403	-0.0958	-0.8689	-0.4935	-0.0196	-1.1013	0.1572	1.0809	1.4434	1.4298	-0.0482	0.9013	-0.3317	-0.672	-0.8643	-0.3604	-0.8381	-0.0719	-0.0414	-0.1096	-0.75265	-0.8637	-0.5714	-0.2066	1.226	2.6024	-1.4711	0.8898	0.7578	-0.2042	-0.0401	-0.647	-0.9029	0.8676	-0.1137	0.5726	-0.3952	-0.395	0.3282	1.191	-0.3123	-0.5908	-2.0641	-0.76915	0.7573	-1.5201
AARS2	0.0958	0.0058	0.1132	0.2169	0.3105	0.3689	1.1106	-0.4678	-0.0545	-0.2146	0.4012	0.3498	0.7425	0.284	0.5292	-0.3286	0.4583	-0.8263	-0.0921	-1.1168	-0.2881	1.071	-1.9716	0.2132	-0.5605	2.3073	-0.6369	0.2478	-0.4636	-0.5556	0.6584	0.4284	-0.0759	1.1956	-0.4183	0.6344	-0.3684	-0.4203	-1.1191	-0.1065	0.8307	-0.3908	-0.7408	-0.8731	-0.4399	0.1711	-0.4365	0.4555	-0.4188	0.6638	-0.0929	0.0228	0.368	-0.1557	0.6468	-0.485	1.085	0.3628	0.0251	0.1406	0.6439	0.4666	0.8816	0.9347	0.1228	0.6361	1.0357	0.6811	-0.8944	-1.0518	-0.2014	0.0483	-0.6052	0.2929	-0.0356	0.623	0.0478	0.4857	0.0113	0.159	-0.1348	0.244	-1.5347	0.21165	0.4228	-1.7553	-1.6824	-0.0217	-0.6939	-0.56805	-0.1	-0.1247	-0.2382	-0.3006	-0.8275	0.8257	-0.24225	-0.425	0.0628	0.6736	0.3745	0.0686	-0.1897	-0.4157	-1.0453	0.2316	-1.3172	-1.2214	-0.1664	-0.9466	-0.9499	-0.5838	1.4365	1.5515	3.9919	-1.0086	0.1995	0.5923	-0.155	-0.1488	1.9298	-0.2944
AARSD1	0.2386	0.0024	-0.6213	-0.5336	-1.1046	-0.8387	-0.2176	-0.6437	0.5715	-0.9527	0.008	2.1142	-0.6573	0.1605	0.4444	-0.6448	0.2617	0.2905	0.5411	0.1414	0.0179	1.6975	1.3184	0.2897	-0.8915	0.554	0.6378	0.8723	0.1097	0.0668	0.2107	-0.2321	0.1695	1.5006	1.2548	0.2347	-0.4205	0.3075	0.4955	-0.7181	-1.9323	3.6484	0.2545	-0.4656	0.1109	1.8678	0.4811	-1.4059	2.1216	0.6257	-0.7295	-0.8471	0.2285	-0.5626	1.51955	-1.2354	-0.0332	0.7171	1.0216	-1.0564	-1.4715	-0.459	-1.2223	0.0841	1.5332	-0.8841	-0.8159	1.558	0.4641	-0.4914	-0.4518	0.1415	-0.0523	-0.47617	-0.4832	0.6927	-0.2035	0.2692	-0.5275	0.4678	0.2439	0.0927	-0.2194	0.4162	1.9025	1.7582	0.0089	-0.569	-0.5262	-0.2663	0.4423	-1.2446	0.7872	-0.2651	-0.6891	-1.1298	0.7183	0.4459	-0.0794	0.2681	-0.1532	-0.237	1.3859	0.599	-0.4331	0.426	-0.8681	0.2726	1.1281	-0.7256	0.0815	0.9147	-0.1952	0.5593	-0.4393	-1.0395	0.4594	-1.6335	-0.0343	1.3205	2.0413	0.5019
AASDH		-2.5384				-0.7473				-0.3671	0.3274					1.3071			-1.0967			-3.5851					-1.2086		-0.7264			-1.8312					-0.623								1.0841	0.1781	1.0873							-0.0993	-0.35935			0.0964											1.1178		-0.747			0.62425								0.1359	0.1572	-0.2852					1.8983	0.952				-0.7438							-3.1481					-1.2451			3.0931						-0.1272					0.8915	0.189	
AASDHPPT	0.5282	1.4208	-0.3288	-0.1606	-1.1149	-1.261	0.6623	0.8372	-0.3426	0.5726	-0.8427	1.431	-0.8307	0.8338	0.4179	1.3295	-0.9455	-1.2768	0.9328	0.0679	-0.109	0.2616	0.6002	-0.7442	-0.5404	-0.909	-0.8819	-0.9707	0.1389	-1.0155	0.2633	0.555	0.2411	0.4654	0.1573	0.3502	-0.0184	-0.4162	-0.6163	0.1763	0.8203	1.4282	0.7106	-0.8597	-0.7982	-0.5718	0.6886	-0.8341	0.6805	0.4221	-0.0115	-1.6469	-0.7217	1.846	0.7873	1.3381	0.1539	0.5612	-0.4109	-0.0746	0.7044	0.499	-0.8917	1.1379	1.4688	0.3679	-0.3297	-0.0175	-0.5005	1.2957	0.7079	0.90975	-0.4957	0.1007	-0.0239	0.2341	1.0476	-0.235	1.1539	-0.5384	-1.395	-0.7636	-0.0996	-0.3588	-1.0975	0.1952	0.6213	-0.068	0.9057	1.068	-0.1374	-0.6552	-0.4305	-1.7757	-1.1624	-0.5743	0.89405	-0.5281	0.3198	-0.1582	2.0801	0.0042	1.9617	-0.7726	-1.6849	0.8681	-0.2539	0.2174	-0.5676	-0.6308	-0.9974	-1.368	1.51	-0.0601	-1.6387	1.0138	0.4382	0.6963	-0.2575	-0.454	0.9012	-0.1363
AASS	-1.4167	2.2242	-0.6832	-0.2911	0.0845	-0.1768	-0.4453	-0.1212	0.1652	-0.7581	0.7608	-1.7368	0.4233	-2.1441	-0.6553	0.9312	-0.5036	0.4219	0.3334	-1.1566	-0.9618	0.3055	-0.9855	2.4882	-0.9299	2.6695	-1.2433	1.4111	0.7918	2.6212	0.7354	1.0642	2.2492	0.2527	1.9669	-1.7922	1.5348	0.2848	-0.3241	-0.3055	1.8629	1.8916	-0.9822	2.621	1.7392	1.6663	-2.867	1.1017	-1.3618	-0.4794	-0.4406	0.9278	2.5598	1.4124	-0.28625	-0.7719	-0.65	2.1768	-0.4487	0.2892	-0.9252	4.2924	1.6511	3.9857	0.8653	-1.5651	-0.0324	-1.7873	2.1187	-1.3778	-1.2448	0.14085	0.7479	0.7234	0.4939	1.0226	0.8016	-0.9093	-0.1861	0.8264	-0.2408	2.8076	-0.7044	-1.07205	1.6129	0.0704	-0.6131	0.2396	2.2538	-0.1924	1.4802	-1.6449	0.1386	-1.0364	-0.2905	-1.2375	-0.84	2.35	2.6791	2.8904	-0.0036	1.162	1.1612	0.0768	0.2644	1.1471	1.0666	-0.0669	1.0649	-1.0786	1.8435	3.3013	0.092	0.3629	-0.4534	-0.3842	1.2338	-0.8717	0.0944	2.43375	-0.0088	0.1172
AATF	1.9604	0.3282	1.1551	1.6196	0.7163	0.0528	-0.8509	0.8959	0.3967	1.2389	0.7287	0.8136	-0.416	2.4852	-0.2525	-0.6622	-1.3028	0.1404	1.4225	1.7952	1.0798	-0.4014	-0.566	-0.1468	0.749	-0.2774	-0.5676	-1.8273	-0.5831	-1.133	-0.15	-1.8807	-0.72	-0.0028	-0.5093	1.4043	-0.7445	0.6115	0.0029	0.0443	1.5333	0.0402	-0.231	-1.0006	-0.5041	1.3803	-0.2098	-0.6968	-1.1703	0.7826	-3.6518	0.1908	0.2859	-1.017	-1.1198	-0.5622	-0.4364	-1.9557	0.8234	0.0029	0.716	-0.7566	0.4428	0.0609	-0.4298	1.3479	-0.5841	-0.3519	-1.316	-0.064	-1.054	-1.53145	-0.9161	0.3565	0.4178	-0.9112	0.074	0.2197	0.0142	-0.5807	-0.5043	-1.2229	-1.5661	-0.83255	1.4734	-0.5831	-0.6924	-1.6499	0.235	0.07815	-0.4179	0.45	-0.9073	-0.7031	-0.4206	-0.5403	-0.38865	-1.195	0.3499	-0.7228	-0.5993	-1.2018	-1.1737	-0.2884	0.1091	-0.3045	0.2332	-0.3685	-1.7659	-0.7514	-0.905	0.0662	-0.255	0.7532	0.8093	0.6509	0.1571	-0.0682	-1.3026	-0.5163	0.394	-0.9684
ABAT	-3.205	-0.0935	-3.0509	-3.0575	-3.6035	-2.9106	-0.7679	-2.4994	-3.0707	-2.5061	-0.6036	3.2123	-1.665	-4.3891	2.4344	-3.2066	1.4647	0.2593	-2.2618	-3.5358	-2.8019	2.6385	5.4713	0.8448	-2.2174	6.118	1.1551	1.7676	-4.4397	-0.5931	1.0575	2.1238	1.3801	1.5779	0.2215	-2.459	4.0831	-4.6549	-4.1009	-0.0122	-3.2071	0.5511	6.1003	-2.4535	7.7553	1.753	-0.158	-2.0693	1.4113	-3.8347	-0.7379	-0.1502	1.6096	-3.0396	1.07585	-2.5796	-1.9914	-0.1247	-1.5396	-2.1502	-3.1639	0.4931	-2.2923	1.5936	3.1537	-3.2801	-4.4838	-1.2948	3.7284	-3.9475	-4.8969	1.21075	0.3453	-3.1014	-2.3321	2.9671	-1.1666	0.2258	3.3234	5.8024	1.8737	-2.0387	1.3469	0.13535	1.5582	0.8092	-4.0084	-2.7826	-0.2412	-2.5453	4.8392	-1.0456	2.0973	-0.7368	-2.4355	3.7079	0.25335	0.6916	4.6994	2.4895	-1.0427	-0.7745	0.0792	0.6535	0.5294	0.3163	-3.7362	2.0856	2.0927	2.8655	-0.4909	1.4154	-3.6908	-5.0108	-4.3753	-3.7342	-2.2244	0.457	4.6321	1.74525	5.192	1.3131
ABCA1	-3.2344	-0.4804	0.4398	-0.4238	1.0091	-2.3871	-4.5153	-0.8961	-3.6423	-2.1081	-3.6741		2.5745	1.8119	-2.2346	-0.7742	-5.8674	-1.0421	-1.8346	-0.7869		-1.0328	-2.256	1.1586	-1.1841	-2.2466	-7.2479	0.3528	-0.9334		-1.0556	-0.0862		-1.4375	1.129		-1.3143	-2.3329	0.5629	-1.6207	-3.4144	-0.1242	-3.0962	0.6693	-0.7956	-3.4449	0.7596	-3.6591	-0.0681	0.8293		1.166	-0.4734	0.2393	-1.05115	-1.0412	-1.7371	-0.1446		0.9803	-2.8617	0.4724	10.0397	0.4005	0.411	-0.2861	0.2145	-1.2527	-0.5069	-0.7595	1.158	-3.65185	1.046	-0.136	0.5319		-0.0621	0.1083	-2.1356	-0.6479	-0.3074	0.8032	-0.7444	-1.50475	4.7701	-2.6517	1.5764	-0.5908	-1.8005	-1.32675	-0.5511	0.6833	-1.3765	0.5965	1.1016	0.3269	-0.5323	-1.829	-0.5742	0.0446	-1.0128	-0.8894	-0.4966	-0.4818	1.7872	-0.6149	3.0039	-0.1191	-0.6089	-1.759	-0.6413	-0.0472	0.0392	0.3403	-3.9951	-0.0973	-2.5877	-0.05	-0.7275	-2.2261	-0.0124	-0.2914
ABCA10												-0.6826									1.2925									2.0663			4.2022			0.6032															-2.6309								-0.5846																	2.2617																																														
