IDX	CPT000814	CPT001846	X01BR001	X01BR008	X01BR009	X01BR010	X01BR015	X01BR017	X01BR018	X01BR020	X01BR023	X01BR025	X01BR026	X01BR027	X01BR030	X01BR031	X01BR032	X01BR033	X01BR040	X01BR042	X01BR043	X03BR002	X03BR004	X03BR005	X03BR006	X03BR010	X03BR011	X03BR013	X05BR001	X05BR003	X05BR004	X05BR005	X05BR009	X05BR016	X05BR026	X05BR029	X05BR038	X05BR042	X05BR043	X05BR044	X05BR045	X06BR003	X06BR005	X06BR006	X06BR014	X09BR001	X09BR004	X09BR005	X09BR007	X11BR003	X11BR004	X11BR006	X11BR009	X11BR010	X11BR011	X11BR012	X11BR013	X11BR014	X11BR015	X11BR016	X11BR017	X11BR018	X11BR019	X11BR020	X11BR022	X11BR023	X11BR024	X11BR025	X11BR027	X11BR028	X11BR030	X11BR031	X11BR032	X11BR036	X11BR038	X11BR040	X11BR042	X11BR043	X11BR044	X11BR047	X11BR049	X11BR050	X11BR051	X11BR053	X11BR054	X11BR055	X11BR056	X11BR058	X11BR059	X11BR060	X11BR072	X11BR073	X11BR074	X11BR075	X11BR080	X13BR009	X14BR005	X14BR008	X14BR014	X15BR003	X16BR012	X18BR002	X18BR003	X18BR004	X18BR006	X18BR007	X18BR009	X18BR010	X18BR016	X18BR017	X18BR019	X20BR001	X20BR002	X20BR005	X20BR006	X20BR007	X20BR008	X21BR001	X21BR002	X21BR010	X22BR005	X22BR006
PTPRO	-0.6525	0.2983	-1.3125	0.5599	-0.2219	-0.6024	-0.1371	0.9276	-0.0482	0.1871	-1.3223	0.487	0.7171	-0.0074	0.63	-0.0456	-1.5249	0.7941	0.611	0.2584	0.0043	-0.6596	0.4957	-0.916	-1.0643	0.4384	-0.9009	0.0667	1.5064	0.3543	-1.3983	-0.1867	-1.0728	-0.6997	1.8483	-0.1117	-0.4264	-0.3694	0.2938	-0.0645	-1.0849	0.3184	-0.3071	-1.636	-0.4027	-1.1107	-2.2554	-0.2171	0.2985	1.2695	0.8154	0.3562	-0.4921	0.3011	0.4232	-0.3309	-0.8639	0.3347	-0.7052	-0.4355	0.1245	0.1953	0.1918	-0.3467	-0.1462	0.7467	0.1928	-1.381	0.7722	0.0487	0.3143	0.4763	-0.1203	-0.8818	1.0305	-0.8359	-0.3086	0.6491	0.241	-0.0466	0.2086	0.0679	0.9419	-0.6358	-0.8255	0.2606	-0.1967	0.5679	-1.0261	0.8997	0.1307	0.228	0.0607	0.4806	1.0421	-1.8883	-0.3573	-1.1465	-1.2083	0.3375	-1.0154	1.5816	-0.4478	1.7463	1.3622	0.4005	0.2927	0.685	-0.5864	0.5572	-1.0117	0.8032	-0.15	0.5629	-0.1565	0.357	0.9912	-0.1639	0.5853	0.751	-0.1348	-0.5121
PTPRQ	-1.7895		-2.5177		-1.8175	0.0011	3.8314	-3.8289	-1.6122	0.8108	-0.3744	3.2477	-0.8418	-1.18	0.2405		-2.8745	1.4376	-1.3524	-2.616	-2.6797		3.9253	7.4859	2.9091	3.7464	7.2851	1.5599	-0.2194	6.3041	-1.2623	-1.2329	0.4513		6.501	-2.2929	-2.9824	-3.6926	-0.8021	-1.204		-2.5084	2.2387	4.1734	6.4406		-1.5097	-3.6926	-3.4794		1.5811	-0.536	1.7634	-4.0908	0.1145	7.7039	7.9055		-3.0414	-2.6313	-2.1921	1.633		4.757	-4.9874			4.0035		-3.6157	-1.923	-0.7107	5.1336	-1.202	0.9124	-2.2304	-3.6173	6.8585	-4.2398			2.1083	1.0421	7.7785		9.0871	6.0167		0.9048	7.3994	-0.234	0.2677		6.2214	5.604	1.2822	-2.6784		13.312	2.5496	3.9067	-0.416		-3.5475	2.1008	6.6022	2.5201	6.7978	-4.7837	6.8342	-3.1986	8.825	2.3133	-0.9459	-0.5019	2.9101	-1.5822	4.1773		-1.0144	5.3311	-3.2203
PTPRR		-0.1483					-3.3608					0.0859				2.188	-1.4285	-0.8822	0.1445		3.1041	-1.3614								1.0219		-0.225	2.5343	-0.6276	0.2369		2.0265					-2.4022	1.8879	-0.7293	-1.2203	0.3887					-0.7674			0.7758	0.345		-0.5621	-3.2407			2.8185			2.2378	-1.7549				-0.1665	-2.2244		5.0898	0.0871		-1.7396		0.1073					1.9725	1.2478	1.2614		-1.8196		0.9704	-0.2433				-2.9848			0.1501		-2.1727	-0.0477				0.1954	2.3285		-1.834		-1.3084			1.2677		1.274	2.275			-1.37				-0.0159	
PTPRS	-3.4405	0.0682	0.1845	-0.4075	0.9101	2.0053	0.1685	1.5469	-0.0328	0.0753	0.0937	-1.368	0.7037	0.4595	-0.2998	0.4384	0.3682	-0.6293	-1.335	-3.0363	-0.5198	0.5467	-0.2861	1.914	-0.3785	-0.2601	0.6201	0.8736	0.1921	-1.4926	-0.7639	-1.5477	-0.5523	-2.1595	0.3869	0.3818	-0.3276	0.0869	1.0005	-0.5396	0.9338	-3.0736	0.5061	1.7749	-0.2149	0.2004	1.6496	-1.5496	0.0292	-1.4524	-1.6191	-0.4436	0.0469	-0.1284	-2.4172	-1.2372	1.5286	-0.7849	0.4324	-0.42	0.5395	0.1599	0.1243	0.1273	0.3379	0.557	-0.2569	-1.002	-0.6314	0.8563	0.4802	1.3222	0.2796	-4.7538	-0.1539	-1.3122	1.2566	-1.9716	0.7813	0.1785	-1.7387	-1.3395	0.0474	1.3922	-1.3828	-0.0747	0.1299	0.7762	1.802	1.841	0.8491	0.0761	-0.403	1.4553	-0.8906	1.0034	-0.579	0.206	-2.0908	0.6947	0.3683	0.3423	-0.182	-0.6554	-1.0715	-0.8044	0.8794	-2.3114	0.1067	0.5441	-2.8998	-3.108	0.5817	-1.6332	-1.1131	-1.6609	-1.2832	0.2257	-0.0107	-1.5915	-0.4229	-0.8833
PTPRT		-7.4924	-5.6625	-3.8795	-5.9084	0.9759	0.4559	-3.5877	-0.7384	-8.3644	0.723	1.2282	-2.6427	-7.4292	-1.8976	-5.7797	3.5214	-0.9861	-6.0583		-6.3762	6.2693	5.1511	-3.405	-2.7053	-2.5193	4.4324	6.0101	-3.0746	-1.6093	3.1852	4.5438	1.9073	-3.3778	4.6631	-2.5601	6.2021	-7.0208	-4.3356	-2.3705	-1.7397	1.9403	2.168	0.7763	4.5451	-3.4532	-6.6141	1.3533	4.4645	-5.9139	-1.1542	-2.9504	-4.5045	0.0115	-2.6256	-4.4171	7.1854	5.6545	0.1372	-3.9452	-0.4856	1.8428	-5.2922	-0.4019	4.447	-9.0689	0.4448	3.3884	5.587	-7.1113	-4.0374	-4.1017	4.0982	-4.9998	-1.8094	2.3685	-4.7825	1.1709	1.9512	2.7026	5.7706	2.4863	1.9113	2.8169	4.617	3.1838	-2.0164	-2.9834	-1.5196	-2.6828	5.7833	-0.3272	7.0893	3.3976	-4.0675	1.8318	6.7629	1.2451	4.205	3.7897	3.966	-3.5108	0.0726	2.1949	-2.3496	3.007	-2.1511	0.0119	7.2064	-1.9905	4.7911	3.8409	-6.1833	0.5029	-5.5917	-2.6949	-1.7549	-0.7837	2.7363	3.1098	0.4816	5.52
PTPRU	0.8956	0.9746	1.0096	-0.5101	1.8095	-1.1896	1.185	0.249	-0.3525	-1.2612	1.7663	1.4684	0.7601	1.0979	1.4687	-0.205	-4.1039	0.2215	-1.4345	0.4751	-0.3047	0.1438	0.6115	-1.379	1.2035	-1.191	-0.1301	-0.1968	0.604	0.7222	0.3664	1.9352	-1.0615	-3.2578	-1.372	-1.3362	-1.067	0.6504	-0.2336	-0.4228	1.313	-2.286	2.1624	-0.1611	-1.0501	1.0997	0.8096	1.1336	-0.6774	0.2582	0.3638	0.0959	0.6782	-0.82	0.1551	0.5574	2.2122	-0.1807	0.3071	-0.5069	-0.3931	0.1519	1.2233	1.5054	-1.6966	1.5197	-2.0973	1.0439	-3.5794	-0.9399	-2.1323	-1.2717	-0.7131	-2.1173	-0.2129	-4.2277	0.3559	-0.5366	0.7289	1.6337	0.491	-0.1951	2.1428	-0.014	-0.8764	0.5833	-2.1277	0.5439	-1.1982	0.0624	-1.7419	-3.3596	-0.6528	0.1273	-1.613	2.8011	-0.7489	0.1604	2.6596	0.197	0.4942	1.745	-2.6086	-1.6292	-0.8625	0.1404	-0.3506	2.6605	-1.1666	0.6042	-2.3005	0.466	2.4401	-2.5031	-3.3885	-0.6314	-2.3852	0.8086	0.5188	-2.3113	-0.2425	-0.5759
PTPRVP	1.1084	-3.352	-0.9482	3.37	1.3441			-0.2789	0.479	3.9489	-0.0421	2.0873	3.1917	0.5041	4.4032	0.8853	0.794	-1.4211	2.0136	-1.1411	-0.8691	4.5516	-2.5121	1.2832	1.1645	-1.4048	0.9278	-1.1946	-1.8562	-1.6634	3.1785	-2.956	-0.0866	-0.7372	-1.9074	-0.1344	-0.0087	1.0214	0.8472	-1.1224	2.5798	-0.9452	4.1325	-1.2425	-3.0942	2.9711	5.9902	-2.9321	1.7066	0.3802	-1.3873	-1.9321	-1.1008	-3.2442	-0.2417	2.7793	-0.316	-2.5763	0.1904	-0.7343	-0.3398	0.1981	0.7075	1.0427	-0.0042	-0.9625	2.2842	0.8738	0.0496	-2.0941	-1.1095	0.2204	-1.7371	0.4104	0.4503	0.4757	-0.8684	-1.0246	0.7267	-2.7842	0.6268	-1.6424		2.1802	-0.7082	-0.4611	0.695	-1.7726	-2.4654	-1.479	-1.3235	1.6631	-0.2155	-0.6082	0.7852	-0.2346	-0.1417	3.255	1.2508	0.894	0.214	-0.101	0.0425	3.2264	0.6424	-0.6077	-0.5634	-1.047	-3.8226	-0.456	-0.9235		1.4744	-0.1795		-0.6944		1.1835	1.2203			3.7275
PTPRZ1	-1.0287	-1.1956	6.4432	-1.2339	5.1073	0.6292	-3.8919	-5.188	2.4844		-3.7501	2.8545	3.6137	0.1563		5.7692	-3.9045	1.1985	-0.8708	-1.1815	3.7923	0.5783		-0.7627	-1.1339	-1.0463	-0.564	0.3153	-0.4813	1.7463	-1.2445	-3.0322	4.9797	-3.1898	-2.1632	0.673	0.4082	1.2067	4.7241	5.7109	-1.7868	-3.1298	-1.0592	5.4056	-2.2302		1.8956	-4.4886			1.3712	2.5465	-1.5105	1.0019	4.6375	-1.9891	-3.9443	-0.0684	4.554	3.2101	2.3418	4.5935	-4.5181	0.8343	-1.2908	0.6326	0.743	-3.5766		-3.6883	-3.3738	-3.292	3.9246	1.8715	-0.1389	-0.5669	1.8209	-1.6231	-1.4768	0.0661	-4.7064	2.6621	-6.0225	-3.056	-4.2244	-5.3483	0.013	-1.376	2.9249	-1.4401	-6.159	-4.5888	7.629	2.8509	2.2403		6.5324	1.0938	5.9694	-2.8839	-1.0607	-6.1384	-4.7732	-2.3813	-1.6451	0.4741	2.4607	-0.8174		-4.2872	8.7887		6.9231	2.0123	1.5069	0.0706	1.1765			-0.582	0.3453	2.073
PTRF	-0.0183	1.733	-0.9776	-1.2034	0.8596	0.527	0.3269	0.0357	-0.0311	-0.6047	-1.9553	-1.0925	2.0545	0.2301	-1.1612	0.3786	-1.6737	1.0645	0.2296	0.0029	0.7102	0.1165	0.743	2.6637	0.4739	-1.3784	-0.192	0.0352	0.6395	0.7669	-0.3247	1.3789	2.0256	-0.4345	3.2783	-0.8669	0.8619	-1.0424	-0.3712	-0.8883	0.2911	-0.2964	0.0344	2.4867	-0.5696	-0.3676	-0.4382	0.8165	-0.2116	-1.4362	-0.2665	0.7998	-1.5266	0.7402	0.4316	-0.9854	-0.4202	3.7363	-0.753	-1.0716	0.2502	2.0654	-1.4654	0.4715	0.6724	-0.1845	-1.4944	-0.9975	-1.1052	0.1265	-0.1831	1.0142	1.5951	-0.2186	0.0821	0.0517	0.2503	-0.7218	-0.6951	0.6436	-0.1002	1.7675	0.7085	-0.1605	-1.8376	2.2628	3.5513	1.5651	-0.0145	0.5279	0.4861	-1.7377	1.493	-0.3663	-0.636	-0.2787	-1.5916	1.7125	0.5053	-0.1027	0.7165	1.4381	-1.9413	-0.7878	1.0281	0.6305	0.4285	0.9129	0.7138	0.5756	-0.2271	-1.2593	1.8666	-0.0421	-1.0394	-0.1154	-0.2564	-0.5263	0.56	-0.8432	-1.1301	-0.148
PTRH1	0.9671	0.412	0.5072	-1.0993	-1.1408	0.8038	1.3967	0.1442	-1.4962	-0.842	-0.0784	-0.7954	-1.0674	-0.0412	-0.4001	-0.2219	0.2565	1.0257	0.2076	0.7334	0.1416	0.088	-1.0106		0.1275	-0.8503	-0.7691	0.86	-0.4535	-2.1794	-0.4532	-0.68		1.3874	-0.0927	-0.5819	-0.1176	-0.3734	0.3717	0.9805	-0.0247	-0.6715	-0.8508	-1.7525	0.2779	-0.103	0.5289	-0.0527	-0.6274	-1.0472	0.8197	0.5038	-0.3405	-0.1631	0.6087	-0.5377	-1.0246	0.2792	0.3871	-1.322	-0.8092	-0.8252	-0.6666	0.1086	1.7452	-2.3103	-1.0699	0.2583	0.7939	-0.2149	1.1595	0.0915	0.1148	0.6482	-1.4123	0.8201	0.0569	1.1514	0.0211	1.2671	1.5083	-0.0265	1.777	1.1485	1.4281	-0.4516	0.902	-0.2838	-0.1205	-0.693	-0.4987	0.6114	0.5633	-2.2571	-0.854	1.3725	0.4573	0.7174	-0.9056	-0.3292	1.5705	-0.0789	0.3439	1.8294	0.7489	1.0318	0.6309	0.8095	-0.6523	-1.5256	1.7515	0.8859	-0.5657	-3.4259	-2.2613		-2.4131	0.607	0.8074		-1.8226	
